jabuka	7.7.2020	Valjevo	Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis); Jabukin smotavac (Carpocapsa pomonella)
jabuka	7.7.2020	Kruševac	Jabukin smotavac (Carpocapsa pomonella); Pepelnica jabuke (podosphaera leucotricha)
jabuka	6.7.2020	Kragujevac	Jabukin smotavac (Carpocapsa pomonella); Obična grinja (tetranychus urticae); Crveni voćni pauk (Panonychus ulmi); Bakteriozna plamenjača jabuke i kruške (erwinia amylovora)
jabuka	6.7.2020	Čačak	Jabukin smotavac (Carpocapsa pomonella); Crveni voćni pauk (Panonychus ulmi); Obična grinja (tetranychus urticae); Pepelnica jabuke (podosphaera leucotricha)
jabuka	6.7.2020	Vršac	Pepelnica jabuke (podosphaera leucotricha); Jabukin smotavac (Carpocapsa pomonella)
jabuka	3.7.2020	Kraljevo	Jabukin smotavac (Carpocapsa pomonella); Crveni voćni pauk (Panonychus ulmi); Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis)
jabuka	3.7.2020	Niš	Jabukin smotavac (Carpocapsa pomonella); Obična grinja (tetranychus urticae); Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis)
jabuka	3.7.2020	Negotin	Jabukin smotavac (Carpocapsa pomonella); Pepelnica jabuke (podosphaera leucotricha)
jabuka	2.7.2020	Požarevac	Jabukin smotavac (Carpocapsa pomonella); Grinje (acarine); Pepelnica jabuke (podosphaera leucotricha)
jabuka	2.7.2020	Zrenjanin	Jabukin smotavac (Carpocapsa pomonella); Obična grinja (tetranychus urticae)
jabuka	2.7.2020	Mladenovac	Jabukin smotavac (Carpocapsa pomonella); Pepelnica jabuke (podosphaera leucotricha); Obična grinja (tetranychus urticae); Crveni voćni pauk (Panonychus ulmi)
jabuka	2.7.2020	Vranje	Čađava krastavost jabuke (venturia inaequalis); Jabukin smotavac (Carpocapsa pomonella); Lisna vaš crvenih gala (Dysaphis devecta); Pepelnica jabuke (podosphaera leucotricha)
jabuka	2.7.2020	Kikinda	Jabukin smotavac (Carpocapsa pomonella); Grinje (acarine)
jabuka	1.7.2020	Smederevo	Jabukin smotavac (Carpocapsa pomonella); Pepelnica jabuke (podosphaera leucotricha)
jabuka	1.7.2020	Senta	Grinje (acarine); Jabukin smotavac (Carpocapsa pomonella); Pepelnica jabuke (podosphaera leucotricha)
jabuka	30.6.2020	Jagodina	Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis); Tripsi (thrips spp); Jabukin smotavac (Carpocapsa pomonella); Paučinari (tetranychidae); Crveni voćni pauk (Panonychus ulmi)
jabuka	30.6.2020	Sombor	Jabukin smotavac (Carpocapsa pomonella); Obična grinja (tetranychus urticae); Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost plodova kruške (venturia pirina)
jabuka	30.6.2020	Subotica	Jabukin smotavac (Carpocapsa pomonella); Pepelnica jabuke (podosphaera leucotricha); Obična grinja (tetranychus urticae); Crveni voćni pauk (Panonychus ulmi)
jabuka	30.6.2020	Vrbas	Pepelnica jabuke (podosphaera leucotricha); Obična grinja (tetranychus urticae); Lisne vaši u voćarskim i vinogradarskim zasadima (aphididae)
jabuka	29.6.2020	Pančevo	Jabukin smotavac (Carpocapsa pomonella); Obična grinja (tetranychus urticae); Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis)
jabuka	29.6.2020	Svi regioni	Jabukin smotavac (Carpocapsa pomonella)
jabuka	29.6.2020	Novi Sad	Jabukin smotavac (Carpocapsa pomonella); Obična grinja (tetranychus urticae); Pepelnica jabuke (podosphaera leucotricha)
jabuka	27.6.2020	Ruma	Čađava krastavost jabuke (venturia inaequalis); Pepelnica jabuke (podosphaera leucotricha); Obična grinja (tetranychus urticae); Jabukin smotavac (Carpocapsa pomonella)
jabuka	26.6.2020	Svi regioni	Obična grinja (tetranychus urticae); Crveni voćni pauk (Panonychus ulmi)
jabuka	26.6.2020	Sremska Mitrovica	Crveni voćni pauk (Panonychus ulmi); Pepelnica jabuke (podosphaera leucotricha); Obična grinja (tetranychus urticae)
jabuka	25.6.2020	Negotin	Čađava krastavost jabuke (venturia inaequalis); Lisne vaši u voćarskim i vinogradarskim zasadima (aphididae); Pepelnica jabuke (podosphaera leucotricha); Jabukin smotavac (Carpocapsa pomonella)
jabuka	25.6.2020	Mladenovac	Čađava krastavost jabuke (venturia inaequalis); Pepelnica jabuke (podosphaera leucotricha); Jabukin smotavac (Carpocapsa pomonella); Tripsi (thrips spp); Obična grinja (tetranychus urticae); Crveni voćni pauk (Panonychus ulmi)
jabuka	23.6.2020	Leskovac	Čađava krastavost jabuke (venturia inaequalis); Pepelnica jabuke (podosphaera leucotricha); Lisne vaši u voćarskim i vinogradarskim zasadima (aphididae)
jabuka	23.6.2020	Smederevo	Zelena jabukina vaš (Aphis pomi); Pepelnica jabuke (podosphaera leucotricha)
jabuka	23.6.2020	Niš	Čađava krastavost jabuke (venturia inaequalis); Pepelnica jabuke (podosphaera leucotricha); Lisne vaši u voćarskim i vinogradarskim zasadima (aphididae)
jabuka	22.6.2020	Kruševac	Pepelnica jabuke (podosphaera leucotricha)
jabuka	22.6.2020	Kraljevo	Čađava krastavost jabuke (venturia inaequalis); Pepelnica jabuke (podosphaera leucotricha); Lisne vaši u voćarskim i vinogradarskim zasadima (aphididae)
jabuka	19.6.2020	Čačak	Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis)
jabuka	19.6.2020	Kikinda	Pepelnica jabuke (podosphaera leucotricha); Čađava krastavost jabuke (venturia inaequalis)
jabuka	19.6.2020	Užice	Lisne vaši u voćarskim i vinogradarskim zasadima (aphididae); Čađava krastavost plodova kruške (venturia pirina); Pepelnica jabuke (podosphaera leucotricha)
jabuka	19.6.2020	Pančevo	Čađava krastavost jabuke (venturia inaequalis); Pepelnica jabuke (podosphaera leucotricha)
